sex,Age,Married,Number_children,education_level,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,incoming_salary,incoming_own_farm,incoming_business,incoming_no_business,incoming_agricultural,farm_expenses,labor_primary,lasting_investment,no_lasting_investmen
0,36,0,1,11,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,40,0,5,5,6,12390944,68866089,1601537,6005764,10570145,0,1,0,0,23489211,19574341,0,86061646,33988175.0
1,31,0,2,5,5,13552576,15854063,17902936,77874902,8844174,0,0,0,0,24631150,14195664,0,16764333,23947665.790556464
1,76,0,2,6,4,22717857,79001005,18536692,7268618,36608167,0,0,0,0,6604890,12610381,0,60507509,16975657.679273427
1,31,1,6,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,55,1,0,1,2,34766083,61659176,23399979,13346142,96092218,1,0,0,0,30028818,31363432,1,10283141,33603850.543647975
1,34,1,3,10,5,28912201,78475311,23399979,13479604,62459941,0,0,0,0,20019212,12078258,0,78475311,60124369.0
0,30,0,1,10,2,22375139,13773218,23399979,80076849,27226129,0,0,0,0,30028818,31363432,0,16010732,22421517.0
1,27,1,4,8,6,70215347,23158224,23399979,14013449,83279924,0,1,0,1,48046112,6005764,0,35624985,97827215.0
0,54,0,0,14,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,48,1,3,9,7,6712542,10073668,23399979,45376883,18770014,0,0,0,1,30028818,24023055,0,18051425,22421517.0
1,20,1,2,9,4,10409991,60858406,82900131,80076847,37956429,0,1,0,0,24023056,45777268,0,58404114,65436134.0
1,24,1,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,51,1,4,7,6,16539129,22652176,13027607,15290372,1156710,0,0,0,0,24792783,12169723,0,6214366,25214275.445255943
1,19,1,1,10,3,2581633,21780904,23399979,20019212,42921192,1,0,0,0,26692283,35589713,1,48558154,83635817.0
1,46,1,1,12,4,34074173,33694609,92649182,54268464,3276108,0,0,0,0,15835395,15327193,0,61807529,40094755.31891437
1,43,1,4,4,9,12390944,18978214,80076847,18684598,23542593,1,0,0,1,58322639,24212127,1,2117823,29246958.0
1,44,1,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,3,10,5,28912201,10009606,23399979,19805674,88404846,0,0,0,0,18684598,23578182,0,10329913,77763519.0
1,40,1,4,6,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,37,0,0,11,3,19160034,40285034,29738408,81922882,5547117,0,0,0,0,14930595,18813078,0,50996541,47228720.07157764
1,35,1,4,8,6,53274463,15954049,27359197,9054368,13776293,0,1,0,0,30727369,77277491,0,12380708,21330061.21116159
1,41,1,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,28,0,3,7,4,28912201,36034584,23399979,46711496,88084536,0,1,0,0,18684598,15570499,0,36034584,42262781.0
1,33,1,3,10,5,61272449,22982056,23399979,14680755,52930798,0,0,1,1,53384566,75183268,0,87777887,30607151.0
1,26,1,7,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,67,1,3,1,5,22030728,14381802,23399979,24690361,46444572,0,1,0,0,18951521,29139078,0,38494528,12523129.0
1,35,1,6,9,9,66401184,15374756,32030739,66730708,25464437,0,1,0,1,96092224,14680755,0,88982855,46778225.0
0,33,1,5,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,3,8,5,40444489,42566628,23399979,66636483,18752982,0,1,0,0,10209024,75725186,0,11612488,13188090.99828731
1,33,1,4,9,7,85214472,44661487,23399979,27306403,24938547,0,0,0,1,46462906,47797518,0,17141875,22404235.30467301
1,29,1,4,12,6,20651573,33023694,23399979,36701891,26265207,0,1,0,0,1601537,74515951,0,40085645,27470808.0
1,32,1,2,9,4,47606387,33712354,22421518,30696127,62139637,1,0,0,1,14947679,45821753,1,96373187,17138225.0
1,50,1,4,8,6,17117465,24680711,38075695,21641518,13876941,0,0,0,0,98176082,98243393,0,23174459,905471.787942253
1,27,1,3,10,5,6712542,27962836,96092216,33365355,62780251,1,0,0,1,18684598,21042416,1,42458847,44041824.0
1,36,0,4,10,6,65663017,22861940,10070598,501548,83279924,0,0,1,1,78742236,30584911,0,9364798,35089231.0
1,35,1,3,8,5,24781887,35233814,23399979,1601537,90486841,0,0,1,1,55519948,78297359,0,64820313,20642033.0
1,27,1,4,8,6,11130682,22861940,26109819,46711496,20980135,1,0,0,1,46711496,14569539,1,20824242,20675397.0
1,26,1,3,10,5,22533626,11210759,69083443,1601537,23302362,0,0,1,1,1601537,36034582,0,23907579,20819981.0
1,27,1,4,10,6,16521259,37155658,23399979,21220366,10506083,0,1,0,0,3109651,22688441,0,62405292,12144989.0
1,25,1,3,9,5,14573987,22861940,59081459,66730709,43721962,0,0,0,0,66730709,14636269,0,14974371,54674692.0
1,37,0,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,38,0,2,8,4,82606287,36034584,23399979,64061481,12604096,1,0,0,1,28026898,55386484,1,46697517,37569389.0
1,40,0,2,6,5,14395280,17542211,24825569,24587938,18494230,0,1,0,0,57766382,18389138,0,22818656,46412656.49903445
1,23,1,4,8,6,30635769,55253025,23399979,72069162,18257523,0,1,0,0,6406148,88084537,0,14114182,22154596.0
1,36,1,3,5,5,19930243,15941441,13202890,24073285,15811564,0,0,0,0,28761920,30434375,0,14646788,46048930.926541716
1,41,0,2,4,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,1,1,3,3,28912201,63260712,23399979,25357668,25944899,0,1,0,0,86749926,71179426,0,70467628,71179426.0
1,25,1,1,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,1,5,8,7,14353032,26555895,20537770,75447543,36449886,0,0,0,1,31814027,70295935,0,45081653,43214145.522485234
1,66,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,1,4,7,6,6712542,37556042,11210759,2268844,5717487,0,1,0,1,66597252,97426834,0,52916882,16159509.0
1,28,1,3,9,5,19838410,17154015,12387847,15925010,27482269,0,1,0,1,6478435,6146100,0,37632582,23262892.49131219
1,41,1,4,8,6,16729337,11755282,80076851,26692283,5765533,0,1,0,1,3203074,26692283,0,28484619,87710846.0
1,44,0,4,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,44,0,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,31,1,1,10,3,77792801,27130035,23399979,40038424,14573987,0,0,1,1,36034582,43374962,0,39938141,14880948.0
1,34,0,3,8,5,13495948,14199332,24006794,14045986,21145408,0,0,0,0,21983687,26780475,0,13297363,14114679.760764427
1,27,0,2,5,5,14922488,14733741,17359413,74281489,5751737,0,0,0,0,26977850,16067914,0,17145916,17751090.93902651
1,30,1,3,10,5,28912201,27226129,12812296,33365355,54292103,0,0,1,1,30028818,80744152,0,27226129,61699211.0
1,25,1,1,9,4,69532166,2033952,6406148,11063951,69778969,1,0,0,1,30696127,21798699,1,27773199,7589061.0
1,38,0,2,9,3,51287338,49295309,23399979,25357668,975336,0,1,0,0,93422985,24245493,0,55513086,59479308.0
1,36,0,0,10,3,92088379,22861940,42333961,76339927,75272241,0,1,0,0,98761454,78297365,0,15888965,78297365.0
1,32,1,7,9,9,11087568,25224208,80076851,30162281,67184479,1,0,0,0,32564587,28738691,1,14018381,15117619.0
1,29,1,3,7,5,41303144,28026898,23399979,51382647,33632278,0,0,0,0,30028818,31363432,0,3324454,20019212.0
0,24,1,1,17,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,68,0,0,1,2,37176559,11851374,12812296,33365355,4103138,1,0,0,0,26692283,35589712,1,54473163,16691574.0
1,23,1,2,8,4,19207828,14557971,23399979,51382647,34593201,0,1,0,0,12812296,14680755,0,34566568,14680755.0
1,29,1,5,10,7,29788589,24023054,21655449,90219917,59465069,0,0,1,1,13346142,99219666,0,11811042,13269179.0
0,53,0,0,8,1,90183739,10201791,23399979,73403776,2057975,0,1,0,0,32698047,27248374,0,21910747,66786318.0
1,42,1,3,4,8,12049267,19084481,80597766,18945057,23651985,0,0,0,0,57641103,24210462,0,3573039,28743236.73511742
1,25,0,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,36,1,6,10,11,51217151,40038424,16131099,10116375,53010876,0,1,0,1,45109959,97382345,0,73932037,27088219.0
1,30,0,3,9,5,35921360,9506723,43914058,26692283,57626449,0,0,0,0,36311070,58033857,1,13202447,8659548.882704344
1,52,1,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,37,1,6,14,8,20651573,1473414,23399979,75405703,73510551,0,0,0,0,50715337,58945456,1,17439912,909762.0
1,23,1,4,13,6,63441408,73752905,23399979,74472233,17774119,0,0,0,0,14684206,33674904,0,22272728,87423672.5598863
1,20,1,2,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,82,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,23,1,3,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,27,1,2,17,4,58475246,37936873,23986628,12656698,42238006,0,0,0,0,20773242,89001952,0,45279050,12318960.483446721
1,54,0,6,5,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,49,0,1,11,2,28912201,34272891,23399979,40038424,52530415,0,0,1,1,56053796,41150599,0,44682883,17334415.0
1,24,1,3,6,5,28912201,10426006,23399979,43908806,11931451,0,0,0,0,85415304,13123704,1,11547082,11588899.0
1,22,0,2,7,3,28912201,5765533,23399979,26692283,28891727,0,0,0,0,30028818,31363432,0,5765533,33603850.543647975
1,22,1,3,9,5,17142671,17056369,23399979,47378802,78795624,0,0,0,0,93422991,11455438,0,37722421,52561555.0
1,33,1,4,17,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,19,1,2,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,32,0,2,10,3,16521257,31229971,40038424,10143068,30669434,0,1,0,0,10276529,10095245,0,50153534,74156723.0
0,75,0,2,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,36,0,3,7,6,24358102,13505616,24217600,28292593,18506704,0,0,0,1,39201480,13934148,0,7731143,41973818.779578604
1,24,1,2,6,4,22596713,19876630,9617602,24444970,19757876,1,0,0,0,84295995,70246660,1,22945335,55085976.416334756
1,34,1,4,6,6,21941057,59256868,1871068,21033521,24023054,0,0,0,1,13346142,36746376,0,29200659,11201861.0
1,27,0,3,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,26,1,2,14,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,49,1,0,14,3,35524435,38901334,23399979,14680757,25624592,0,0,0,0,80076847,44709573,0,87990784,55880295.0
1,22,1,2,7,4,28760166,1827373,23399979,27270988,24048502,0,0,0,0,26402930,11566917,0,15816398,30793792.18089018
1,32,1,1,8,3,27071319,56330167,23399979,26692283,11823253,0,0,0,0,29244342,29219199,0,79947420,27483292.620475512
1,26,1,2,9,4,53694088,13532988,3203074,46711493,17696983,0,0,0,1,30429204,2535767,0,19462935,74604931.0
1,23,1,4,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,35,1,4,10,6,33243315,42604168,10727674,16294275,86148105,0,0,0,0,42315972,66608606,0,30539185,22670623.0847688
1,31,1,3,9,5,29818703,21160876,13524874,18341130,83044346,0,1,0,0,21108515,18239940,0,42426315,27441827.993782274
1,27,1,4,10,6,325112,22861940,48846878,96092218,22901979,0,0,0,0,30028818,31363432,1,5332699,24023056.0
1,40,0,1,5,3,28912201,18337599,23399979,46711496,14894294,1,0,0,0,50715337,22243569,1,23470972,55875845.0
1,42,1,0,9,3,52253772,26745667,12812296,62193022,57735409,0,1,0,0,11184067,48713416,0,82682971,15503545.0
1,26,1,1,17,3,57945008,38590958,24302078,13567063,44043886,0,0,0,0,21608736,88622141,1,47838413,10317030.570580814
0,39,1,4,7,6,17939236,30024337,2951244,12086497,3702436,0,0,0,0,11519633,5908375,0,48308301,45344045.221162505
1,61,1,5,7,8,1886281,12011527,23399979,10676913,14413833,0,0,1,1,80076847,66730708,0,3183526,34032661.0
1,24,1,2,4,4,13526621,25540156,4535266,17844994,18601187,0,0,0,0,80597241,79965474,0,31878263,49011889.20127062
1,43,0,3,5,5,92909089,21687420,17865150,23715052,58517681,0,0,0,0,23896214,40230670,0,12541739,52817267.491513364
1,23,1,1,10,3,82606287,12732219,23399979,27493052,37796272,0,1,0,0,17083061,3759163,0,1435905,77630055.0
1,80,0,0,1,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,59,1,0,5,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,35,1,6,9,8,22261365,19218445,26572702,2642536,44843037,0,1,0,0,30028818,10356606,0,67238379,32644661.0
1,47,1,1,12,3,37589594,15871231,23399979,36835351,36643166,0,1,0,0,524837,16290634,0,54341669,22536629.0
1,21,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,24,0,3,8,5,27470311,93706743,22913388,66462679,94658889,0,0,0,0,31504208,29246117,0,96374722,18856428.582438078
1,31,1,3,9,5,45433456,2054772,3203074,18684598,17616907,1,0,0,0,6406148,11344221,1,30264032,83413391.0
1,32,1,2,1,4,24577237,21925041,23399979,28133665,67264557,0,0,1,1,46711496,30584911,0,48904584,12718761.0
1,25,1,3,8,5,22485095,24423439,23399979,12278451,19218445,0,0,1,1,80076847,64506354,0,24991501,77719032.0
1,37,1,5,10,7,25094307,18577829,23399979,91020679,17456753,1,0,0,0,10143067,27137156,1,44953366,67175579.0
1,48,0,3,7,7,31397609,30819929,13512119,10840085,25488988,0,1,0,0,23953769,44261801,0,49927231,57925405.117613316
1,21,1,3,2,6,34766083,33392047,23399979,10676913,17136446,0,1,0,1,80076847,66730708,0,38390115,3411274.0
1,22,1,3,10,5,28912201,13532988,23399979,53384566,42921192,1,0,0,0,14680757,43997784,1,17465207,5520854.0
1,19,1,2,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,34,1,7,6,9,83646683,92088379,10249837,26692283,9849453,0,1,0,1,82479153,42907844,0,22378116,14704111.0
0,35,1,7,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,45,1,3,9,6,17142671,35249829,23399979,19618828,55733486,0,1,0,0,26692283,18239726,0,56316266,58945456.0
1,46,1,2,7,5,47951096,94170372,23399979,33365355,83279924,0,0,1,1,66730709,55608922,0,57656409,34228405.0
1,33,1,3,9,6,27367912,3363524,1768620,12435704,35543421,0,0,0,0,12655042,12890170,0,30788167,62551195.44752835
1,29,0,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,3,11,5,11600601,24103131,48046112,60057635,736707,0,0,1,1,3203074,25090747,0,42029803,15401447.0
1,20,1,1,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,23,1,3,9,5,24749594,36242783,23399979,93422985,30909664,0,0,1,1,50715337,61080842,0,67526648,24668562.0
1,49,0,2,7,4,23568334,10425900,4314300,12175469,45834176,0,0,0,0,20167257,19654645,0,28835139,47527533.76476474
1,19,1,2,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,57,1,0,8,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,36,1,5,10,8,13773218,6406148,61058598,28026898,18337599,0,1,0,1,28026898,29027858,0,21675154,36001217.0
1,23,1,2,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,48,0,5,8,8,82606287,10810374,23399979,19351906,93689919,1,0,0,0,20019212,16682677,1,11956744,43808712.0
1,39,0,2,5,4,28912201,7169891,19362831,67940677,47220475,0,0,0,0,20616589,29028616,0,15221895,16389916.817087
0,59,0,3,12,5,90114637,22556402,35228133,22251825,24760680,0,0,0,0,20923400,29506759,0,13737792,23441477.416243136
0,70,0,3,16,5,88985702,22836987,40621526,23878407,12317337,0,0,0,0,23769917,32559986,0,14253747,13932825.29443643
1,22,1,4,8,6,82606287,14894295,23399979,15481524,78315158,1,0,0,0,30028818,31363432,1,16040665,26692283.0
1,36,1,7,14,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,24,0,1,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,28,1,4,10,6,44473093,25891769,23399979,69938378,34205550,0,1,0,0,19418927,63511565,0,23032578,28621858.351579502
1,27,0,4,9,6,11636809,18384341,23399979,24870764,14702230,0,1,0,0,63213768,25915628,0,29928322,57143479.10058591
0,63,0,1,5,2,80614544,26700728,15064414,22614845,6930551,0,0,0,0,45654217,22143794,0,95455954,24931315.85141785
0,18,1,1,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,40,0,0,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,37,1,4,10,6,34192816,22861940,12321044,63527637,72389473,0,1,0,0,69399939,16918459,0,43802039,18253073.0
1,33,1,5,7,7,54881956,19427485,38971515,58297183,35397766,0,0,0,0,35433318,29527764,0,86685720,70226499.09591706
1,32,0,3,10,4,41303146,12812296,80076847,29895358,31374109,0,0,1,1,30028818,21353827,0,19344916,12873421.0
1,22,0,3,8,7,20651573,1992312,96092224,36034582,26265207,0,0,0,1,93422991,22399275,0,23109354,14571763.0
1,35,1,6,6,8,21764888,22861940,14112096,18471058,24823823,0,1,0,0,13346142,11121784,0,2314812,15926396.0
1,27,1,3,10,5,82606287,19138367,23399979,30802896,60858407,0,0,1,1,30028818,31363432,0,1996443,20747913.0
0,25,1,1,8,3,28912201,12091605,23399979,26692283,172966,0,0,0,0,13346142,37814072,0,12251759,37814072.0
1,23,0,3,10,5,4773717,33275532,30640029,48338417,81241116,0,0,0,0,20132697,16028225,0,61315906,2804234.319625629
1,63,1,3,6,6,35677562,14387987,21855804,17504970,62976527,0,1,0,0,28633946,29311305,0,51430281,32640292.147226922
1,73,0,0,6,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,27,1,4,10,6,28912201,21755278,80076851,30696125,40358734,1,0,0,1,22021133,12512008,1,2316463,14015451.0
1,31,1,3,9,5,11600601,21619148,23399979,20019212,14413833,1,0,0,1,13346142,13791013,1,39784448,45821753.0
0,54,1,1,6,3,41303144,10409991,96092224,20019213,96092224,0,0,0,0,2936151,69177504,0,11463637,21865429.0
1,24,0,1,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,25,0,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,21,1,2,7,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,29,1,5,8,7,26905823,40038424,17352274,66730709,39397812,1,0,0,0,66730709,38926246,1,38529614,86972351.0
1,22,1,2,10,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,42,0,3,13,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
1,60,0,1,5,2,28912201,83829261,24584144,24520563,13076313,0,0,0,0,24415273,20103665,0,89686073,56872528.24672427
0,48,0,3,8,5,22597778,17160922,23399979,26692283,22781298,0,0,0,0,24300591,26172226,0,29188126,19647260.635199886
0,52,0,2,9,4,28912201,53571411,23399979,33365355,23222286,1,0,0,0,61926098,2224357,1,54852643,13034732.0
1,30,1,4,11,6,82606287,20980135,23399979,12411911,3203074,0,1,0,0,22021134,26358631,0,31803223,2318892.0
0,61,0,0,12,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
0,40,1,5,11,9,24781887,51393323,23399979,60057635,28909344,0,1,0,0,25144131,4902483,0,63993225,35331688.0
1,35,0,3,9,5,28912201,22861940,23399979,26692283,28203066,0,0,0,0,30028818,31363432,0,28411718,28292707.0
